run,sim_time,src_addr,dst_addr,dst_posx,dst_posy,h_bs,rssi,snr,dst_module
2,0.0167514,65,95,2419,1579,20,-70.3256,584.394,rsu[7]
2,0.0167526,65,140,2270,2141,20,-81.5686,43.8937,rsu[16]
2,0.0167527,65,230,1896,1391,20,-83.2055,30.1105,rsu[34]
2,0.0391633,80,140,2270,2141,20,-67.1113,1224.98,rsu[16]
2,0.0391639,80,85,2441,2135,20,-75.7282,168.437,rsu[5]
2,0.0391653,80,235,1877,1509,20,-85.7709,16.6793,rsu[35]
2,0.0391664,80,135,1448,1409,20,-88.6363,8.62254,rsu[15]
2,0.0391671,80,305,1316,1268,20,-90.1354,6.10548,rsu[49]
2,0.0391675,80,105,1084,1340,20,-91.3178,4.65029,rsu[9]
2,0.0767601,120,125,361,1508,20,-79.404,72.2546,rsu[13]
2,0.0767608,120,60,496,1367,20,-83.1679,30.3718,rsu[0]
2,0.0767614,120,130,694,1296,20,-85.5534,17.5357,rsu[14]
2,0.125509,220,225,1692,1406,20,-65.3388,1842.41,rsu[33]
2,0.12551,220,210,1586,1164,20,-74.7117,212.861,rsu[30]
2,0.12551,220,135,1448,1409,20,-74.5931,218.752,rsu[15]
2,0.12551,220,250,1715,1142,20,-75.2717,187.106,rsu[38]
2,0.12551,220,240,1835,1584,20,-78.0247,99.2641,rsu[36]
2,0.12551,220,195,1589,1030,20,-78.4939,89.0999,rsu[27]
2,0.125511,220,105,1084,1340,20,-82.1589,38.3152,rsu[9]
2,0.338436,200,205,1592,974,20,-68.3958,911.345,rsu[29]
2,0.338436,200,195,1589,1030,20,-89.4444,7.15854,rsu[27]
2,0.338436,200,190,1597,899,20,-72.0912,389.172,rsu[26]
2,0.338437,200,185,1599,831,20,-74.1504,242.226,rsu[25]
2,0.338437,200,135,1448,1409,20,-80.4997,56.1424,rsu[15]
2,0.338438,200,150,1055,733,20,-82.7103,33.7466,rsu[18]
2,0.338438,200,170,927,945,20,-81.8667,40.9819,rsu[22]
2,0.338438,200,165,911,812,20,-83.4122,28.7108,rsu[21]
2,0.338438,200,110,1632,355,20,-84.5983,21.8491,rsu[10]
2,0.338439,200,160,740,519,20,-87.6595,10.7972,rsu[20]
2,0.51154,290,295,1868,900,20,-63.7536,2653.99,rsu[47]
2,0.51154,290,285,1886,724,20,-69.1467,766.641,rsu[45]
2,0.51154,290,260,1845,985,20,-71.7921,416.923,rsu[40]
2,0.51154,290,280,1975,726,20,-72.0191,395.689,rsu[44]
2,0.51154,290,265,1968,982,20,-73.2788,296.06,rsu[41]
2,0.51154,290,255,1846,1049,20,-74.5528,220.793,rsu[39]
2,0.51154,290,185,1599,831,20,-75.9965,158.349,rsu[25]
2,0.511542,290,150,1055,733,20,-85.6829,17.0204,rsu[18]
2,0.511543,290,170,927,945,20,-86.782,13.2149,rsu[22]
2,0.511543,290,90,2624,25,20,-89.3829,7.26054,rsu[6]
2,0.511543,290,160,740,519,20,-89.4381,7.16898,rsu[20]
2,0.638913,95,65,2335,1669,20,-70.3256,584.394,rsu[1]
2,0.638914,95,85,2441,2135,20,-82.642,34.2819,rsu[5]
2,0.638915,95,270,2054,979,20,-85.7973,16.578,rsu[42]
2,0.638916,95,210,1586,1164,20,-88.2098,9.51231,rsu[30]
